0.9550925772	548 10170
0.9476430782	8 9
0.9453657530	527 6109
0.9449737198	8966 404
0.9448207091	1213 276
0.9442667954	8 465
0.9413182681	1461 3362
0.9410399142	1905 1420
0.9404055707	4756 1461
0.9403759745	320 1213 276
0.9393681293	1612 390
0.9374180256	10416 766
0.9371936993	2749 1225
0.9366093993	250 608
0.9365860394	1861 4384
0.9363938541	2064 4411
0.9361287832	2220 276
0.9357697758	275 276
0.9357216229	1655 1420
0.9354878243	681 715
0.9352489381	82 101
0.9350893302	2067 2009
0.9328271574	3187 1301
0.9322916227	931 1929
0.9322095609	3700 703
0.9320150307	8198 1672
0.9319074539	682 1396
0.9318508938	365 1034 185
0.9317422271	836 1811 528
0.9314033424	1823 917
0.9312000752	1062 1034 271
0.9305839707	2749 1229
0.9302945321	364 449
0.9300461496	2234 6914
0.9300349595	889 1467
0.9295329682	861 1652
0.9293145376	2749 3693
0.9290307316	2526 4989
0.9289125715	2749 4395
0.9285189497	4588 1
0.9282767693	861 2357
0.9280108514	4509 4510
0.9276733447	5075 953
0.9271499363	104 5162 5163
0.9258567794	365 1034 271
0.9257427195	275 249
0.9255347760	4314 3450
0.9250817812	201 1901
0.9250663055	679 4429
0.9246287466	1811 932
0.9242216842	3846 2082
0.9240966257	1547 4362
0.9233319625	51 4295
0.9222355390	681 408
0.9218404010	2749 4751
0.9213971427	3911 404
0.9209606655	352 1067
0.9206750375	2411 3161
0.9206750324	1074 883
0.9205577225	3058 2363
0.9205238065	6030 525
0.9197873406	2064 1034 271
0.9196828134	3278 2260
0.9195702546	39 838
0.9194113938	268 9656
0.9181616458	721 2368
0.9174352171	2067 1183
0.9174015823	1172 1069
0.9173616998	946 294
0.9170687408	390 1190
0.9169331596	958 690
0.9168569614	6326 6327
0.9165893397	1528 4106
0.9160441482	244 390
0.9159722966	1861 1871
0.9158807538	275 1901
0.9157995987	836 1811 51
0.9154081331	4025 2749
0.9152480901	5036 1229
0.9140508096	2258 2260 469
0.9136475474	1857 3640 3117
0.9134993874	4025 6325 82
0.9126048403	539 518
0.9123624182	1122 450
0.9121260999	364 449 9
0.9117180353	3125 450
0.9115384331	1706 1216
0.9112702119	2749 2754
0.9111506396	1034 271
0.9109377332	2662 3752
0.9097428641	1396 7734
0.9093109072	2126 1462
0.9092714110	3640 5735
0.9091745768	1835 292
0.9091113805	946 13015
0.9090634667	8448 1429
0.9089553679	121 122
0.9087106483	1212 404
0.9084660610	2076 195
0.9081558629	250 112
0.9076843716	2276 2277
0.9071564529	10371 3460
0.9071501418	3318 766
0.9071119753	1522 4106
0.9067843502	1062 271
0.9066770619	861 5292
0.9066683995	3969 4122
0.9063019871	4952 468
0.9062375910	1034 185
0.9056262018	5191 666
0.9052765749	104 8628 5399 9072
0.9050332308	986 3383
0.9047910060	3913 11694
0.9040354685	7025 7026
0.9036041485	2652 2077
